Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,30,458,373,600,47.94,0.000%,.05169,7.59,0.31,150294.0
Debug Sampler,30,0,0,1,0.40,0.000%,.05178,0.14,0.00,2707.3
launch,30,458,373,601,48.04,0.000%,.05169,7.72,0.31,153001.3
IDMloginsuperadmin-login,30,986,778,1682,168.37,0.000%,.05169,36.13,1.69,715661.1
login-details,30,616,518,964,92.70,0.000%,.05175,0.06,0.05,1217.1
update-user-scenario-temp,30,789,660,999,66.90,0.000%,.05176,0.04,0.06,889.0
scenario-list,30,1323,1147,1557,108.27,0.000%,.05171,1.32,0.07,26163.0
login,30,3716,3339,4589,259.81,0.000%,.05144,37.37,1.85,743930.2
Landscape-filter-display,30,526,445,637,55.59,0.000%,.05179,0.05,0.06,903.0
dropdown-filter-region,30,540,446,717,69.39,0.000%,.05179,0.05,0.06,1002.0
dropdown-filter-therapy area,30,564,466,749,68.52,0.000%,.05180,0.05,0.06,1012.0
dropdown-filter-country,30,554,457,697,61.48,0.000%,.05180,0.05,0.06,977.0
dropdown-filter-disease,30,570,474,1008,96.08,0.000%,.05181,0.06,0.06,1164.0
dropdown-filter-data source,30,537,464,634,51.30,0.000%,.05182,0.04,0.06,856.0
Landscape Filter Flyout,30,3293,2950,3870,224.29,0.000%,.05155,0.30,0.38,5914.0
landscape-filter-Patient filter-Save,30,589,472,1377,172.32,0.000%,.05182,0.06,0.07,1136.0
Landscape Filter Flyout Values Save,30,589,472,1377,172.32,0.000%,.05182,0.06,0.07,1136.0
patient-dropdown-country,30,585,495,825,69.58,0.000%,.05183,0.04,0.06,850.0
landscapecount-incidence,30,11268,687,32742,10498.97,0.000%,.04954,0.04,0.06,843.0
patientgraph-incidence,30,555,480,659,49.59,0.000%,.04954,0.04,0.06,843.0
sitetier/performance/generate-category-site,30,3463,3353,4395,182.34,0.000%,.04931,0.05,0.06,1003.0
sitetier/performance/generate-category-investigator,30,3420,3346,3540,48.17,0.000%,.04932,0.05,0.07,1003.0
Patient Landscape-site-investigator-generate,30,6884,6730,7854,190.64,0.000%,.04904,0.10,0.13,2006.0
check-async-status--site performance polling,1712,832,616,16175,842.45,0.000%,1.57627,1.33,1.85,866.1
Patient Landscape-site performance polling,30,333395,34844,502459,165103.92,0.000%,.02749,1.33,1.84,49422.7
check-async-status-inv performance polling,30,798,640,1995,229.68,0.000%,.02840,0.02,0.03,869.0
Patient Landscape-investigator performance polling,30,5810,5652,7012,232.30,0.000%,.02826,0.02,0.03,869.0
generate-country landscape detail,30,3490,3358,4426,200.11,0.000%,.02832,0.03,0.04,1003.0
country-detail-polling,2459,996,441,30574,2610.40,0.000%,1.51273,1.32,1.83,896.8
Country detail polling service,30,492209,155730,606758,114568.23,0.000%,.01840,1.32,1.82,73510.1
Country Landscape-generate,30,85195,18764,179523,45830.35,0.000%,.01836,1.34,1.84,74513.1
Patient Landscape Map,30,152789,33480,290174,76400.28,0.000%,.01781,2.25,3.11,129346.8
patient-drug-detail,30,977,468,7013,1297.27,0.000%,.02025,0.02,0.03,852.0
Patient Landscape detail,30,977,468,7013,1297.27,0.000%,.02025,0.02,0.03,852.0
