Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,30,465,397,590,47.44,0.000%,.05169,7.59,0.31,150294.0
Debug Sampler,30,0,0,2,0.48,0.000%,.05177,0.14,0.00,2707.2
launch,30,465,397,590,47.54,0.000%,.05169,7.72,0.31,153001.2
IDMloginsuperadmin-login,30,985,843,1162,86.88,0.000%,.05168,36.12,1.69,715663.5
login-details,30,697,540,1096,117.05,0.000%,.05172,0.06,0.05,1217.1
update-user-scenario-temp,30,859,694,1003,80.61,0.000%,.05176,0.04,0.06,889.0
scenario-list,30,2088,1158,17121,3001.59,0.000%,.05172,1.32,0.07,26163.0
login,30,4631,3573,19610,2976.19,0.000%,.05144,37.37,1.85,743932.6
Landscape-filter-display,30,2419,446,38037,7171.63,0.000%,.04865,0.04,0.06,903.0
dropdown-filter-region,30,624,460,1899,245.49,0.000%,.04865,0.05,0.06,1002.0
dropdown-filter-therapy area,30,1023,472,11705,2027.62,0.000%,.04789,0.05,0.06,1012.0
dropdown-filter-country,30,2252,482,48550,8600.80,0.000%,.04449,0.04,0.05,977.0
dropdown-filter-disease,30,3307,483,70452,12544.60,0.000%,.04038,0.05,0.05,1164.0
dropdown-filter-data source,30,810,495,6313,1025.09,0.000%,.04066,0.03,0.05,856.0
Landscape Filter Flyout,30,10437,3280,169843,29842.98,0.000%,.04008,0.23,0.29,5914.0
landscape-filter-Patient filter-Save,30,4090,501,64888,13208.79,0.000%,.03741,0.04,0.05,1136.0
Landscape Filter Flyout Values Save,30,4090,501,64888,13208.79,0.000%,.03741,0.04,0.05,1136.0
patient-dropdown-country,30,1684,460,20612,4009.50,0.000%,.03650,0.03,0.04,850.0
landscapecount-incidence,30,13013,775,47028,12072.43,0.000%,.03565,0.03,0.04,843.0
patientgraph-incidence,30,1766,481,20453,3820.67,0.000%,.03561,0.03,0.04,843.0
sitetier/performance/generate-category-site,30,4718,3357,38505,6293.53,0.000%,.03556,0.03,0.05,1003.0
sitetier/performance/generate-category-investigator,30,5710,3353,49895,8892.49,0.000%,.03556,0.03,0.05,1003.0
Patient Landscape-site-investigator-generate,30,10429,6779,61071,12548.59,0.000%,.03542,0.07,0.09,2006.0
check-async-status--site performance polling,1061,4544,636,92480,13759.00,0.000%,.75257,0.64,0.89,866.1
Patient Landscape-site performance polling,30,337993,70463,574794,158394.69,0.000%,.02120,0.63,0.88,30630.5
check-async-status-inv performance polling,30,5178,668,67795,12560.58,0.000%,.02226,0.02,0.03,869.0
Patient Landscape-investigator performance polling,30,10191,5682,72805,12559.40,0.000%,.02218,0.02,0.03,869.0
generate-country landscape detail,30,10846,3380,72547,16727.62,0.000%,.02199,0.02,0.03,1003.0
country-detail-polling,1627,4045,441,151309,12952.78,0.000%,1.00837,0.88,1.22,896.7
Country detail polling service,30,491094,246626,705831,122916.56,0.000%,.01854,0.88,1.21,48633.3
Country Landscape-generate,30,230232,29443,403935,104154.68,0.000%,.01850,0.90,1.23,49636.3
Patient Landscape Map,30,423023,51840,734715,218374.72,0.000%,.01745,1.46,2.02,85677.8
patient-drug-detail,30,29411,537,150989,44179.59,0.000%,.02152,0.02,0.03,852.0
Patient Landscape detail,30,29411,537,150989,44179.59,0.000%,.02152,0.02,0.03,852.0
Trialmap-total metric,30,52577,7547,100988,22496.95,0.000%,.02089,1.70,0.02,83369.5
trialmap-ongoing metric,30,173068,133182,180156,14041.23,76.667%,.01913,0.10,0.02,5557.6
Clinical Trial Landscape-Map,30,225645,159586,281133,32158.26,76.667%,.01856,1.61,0.04,88927.1
clinicaltrialchart/generate-no. of trials,30,26334,3455,86927,27619.81,0.000%,.02152,0.02,0.03,1003.0
clinicaltrialchart/generate-enrollment_duration,30,22106,3411,150893,30665.93,0.000%,.02146,0.02,0.03,1003.0
trial-chart-polling-no of trials,78,12383,468,78572,21450.40,0.000%,.05407,0.05,0.07,891.6
No of Trial Chart Async API Polling,30,45218,5616,92233,27263.15,0.000%,.02073,0.05,0.07,2318.2
trial-chart-polling-enrollment_duration,42,13232,552,147660,26665.30,0.000%,.03078,0.03,0.04,887.0
enrollment duration polling service,30,25536,5561,152668,31015.14,0.000%,.02190,0.03,0.04,1241.8
display-trial-chart-no_of_trials,30,16543,519,67995,19402.15,0.000%,.02198,0.03,0.03,1281.0
display-trial-chart-enrollment_duration,30,11555,522,59913,15710.22,0.000%,.02312,0.05,0.03,2052.0
chart display,30,28099,1126,110595,29205.94,0.000%,.02197,0.07,0.05,3333.0
Clinical Trial Landscape- chart,30,127262,14853,292403,76889.94,0.000%,.02053,0.18,0.20,8899.0
trialtimeline/generate,30,14442,3410,52061,13759.02,0.000%,.02307,0.02,0.03,1003.0
trial-timeline-polling,326,4520,458,114494,10845.75,0.000%,.23909,0.21,0.29,895.7
timeline polling service,30,103562,25953,169054,34185.62,0.000%,.02192,0.21,0.29,9733.4
display-trial-timeline,30,6930,1178,47949,9373.62,0.000%,.02329,97.93,0.03,4306088.6
timeline display,30,6944,1194,47963,9373.34,0.000%,.02329,97.93,0.03,4306088.6
 clinical Trial Landscape timeline ,30,70493,14297,202806,41974.25,0.000%,.02157,90.92,0.33,4316825.0
trialdetails/generate,30,9797,3398,55430,10803.87,0.000%,.02325,0.02,0.03,1003.0
trial-detail-polling,731,5561,463,149538,13504.13,0.000%,.49522,0.43,0.60,896.4
trial detail polling service,30,257586,112331,389338,65271.24,0.000%,.02025,0.43,0.59,21842.9
display-trial-detail,30,11197,1908,56310,15120.01,0.000%,.02645,0.13,0.03,5114.9
trial detail display,30,11197,1908,56310,15120.01,0.000%,.02645,0.13,0.03,5114.9
Clinical Trial landscape detail ,30,278582,145704,449048,64851.56,0.000%,.02010,0.55,0.64,27960.8
drug/generate,30,12070,3414,57432,12530.70,0.000%,.02641,0.03,0.03,1003.0
drug-dropdown-search-country,30,24295,640,86411,26789.69,0.000%,.02618,0.03,0.03,1217.0
drug-dropdown-search-drg_nm,30,28069,521,118330,32464.35,0.000%,.02771,0.03,0.05,1086.0
drug-status,30,21319,534,90460,22367.26,0.000%,.02934,0.05,0.06,1748.0
drug-map-polling,30,13980,508,113507,25399.00,0.000%,.03025,0.03,0.04,883.0
drug landscape map polling,30,18990,5517,118517,25399.33,0.000%,.03010,0.03,0.04,883.0
display-drug-map,30,19457,528,150926,37861.44,0.000%,.03057,0.30,0.03,10133.0
drug map display-detail ,30,19457,528,150926,37861.44,0.000%,.03057,0.30,0.03,10133.0
Drug landscape map ,30,119193,7462,380206,116214.35,0.000%,.02489,0.39,0.21,16070.0
drug-patient-detail,30,17812,2193,114032,21268.24,0.000%,.03096,0.09,0.04,3099.0
drug detail ,30,17812,2193,114032,21268.24,0.000%,.03096,0.09,0.04,3099.0
countrycount-site metric,30,53334,11587,89349,19995.10,0.000%,.03108,0.27,0.04,9052.0
Country Landscape- map,30,53334,11587,89349,19995.10,0.000%,.03108,0.27,0.04,9052.0
display-country-landscape,30,12126,482,42084,13194.69,0.000%,.03162,0.14,0.04,4461.0
country-dropdown,30,13128,503,66890,15810.77,0.000%,.03158,0.10,0.04,3183.0
countrylandscape-detail-drugprofile,30,15330,800,96860,20761.67,0.000%,.03104,0.07,0.04,2188.0
countrylandscape-detail-site-investigator,30,59396,16923,112402,28149.93,0.000%,.03055,0.03,0.04,1037.0
countrylandscape-detail-clinical-trial,30,12676,890,54780,16339.92,0.000%,.03230,0.12,0.04,3864.0
Country detail display,30,112658,29615,224797,45576.83,0.000%,.02730,0.39,0.18,14733.0
sitemap,30,48421,14251,98079,18360.56,0.000%,.03174,26.30,0.04,848410.0
generate-experience-category-site-new,30,13150,3441,57737,14109.26,0.000%,.03210,0.03,0.04,1003.0
Site landscape experience-generate,30,13150,3441,57737,14109.26,0.000%,.03210,0.03,0.04,1003.0
check-async-status-Site experience trial async service,646,7243,662,67090,11015.64,0.000%,.52235,0.44,0.61,866.3
Site experience  async service,30,169440,65740,248258,53912.93,0.000%,.02804,0.36,0.50,13195.1
Site map,30,154707,70627,202415,29494.85,0.000%,.02683,22.60,0.55,862608.1
experience-category-site-old,30,51176,20969,79977,16155.60,0.000%,.03194,0.16,0.04,5289.2
experience-metrics/trial-category/generate,30,20806,3433,59742,17008.58,0.000%,.03334,0.03,0.04,1003.0
Site experience trial async service,30,94417,42919,181320,38762.74,0.000%,.03125,0.17,0.23,5458.8
sitemetric-trial,30,14047,1746,47782,14171.32,0.000%,.03825,0.09,0.05,2316.0
Site experience metric,30,148881,38501,228655,37822.68,0.000%,.02894,0.40,0.32,14067.0
site-tiering/experience,30,48713,21646,103009,18901.84,0.000%,.03654,0.20,0.05,5518.0
Site Performance Grade experience,30,48713,21646,103009,18901.84,0.000%,.03654,0.20,0.05,5518.0
site-tiering/performance,30,50620,20596,96068,15651.48,0.000%,.03594,0.25,0.05,6999.7
Site Performance Grade experience performance,30,50620,20596,96068,15651.48,0.000%,.03594,0.25,0.05,6999.7
sites-detail,30,25630,8460,58271,12213.93,0.000%,.03709,0.12,0.05,3217.0
Site details,30,25630,8460,58271,12213.93,0.000%,.03709,0.12,0.05,3217.0
sitemap-inv,30,40961,18734,84253,12093.77,0.000%,.03619,0.97,0.04,27570.0
generate-experience-category-investigator-new,30,17424,3385,39740,12366.15,0.000%,.03799,0.04,0.05,1003.0
check-async-status -investigator experience polling,324,7784,678,68923,13191.25,0.000%,.37381,0.32,0.44,866.3
Investigator experience async,30,138161,73786,197681,26686.34,0.000%,.03441,0.31,0.44,9355.8
Investigator map,30,142455,62874,206741,45394.83,0.000%,.03165,1.17,0.48,37928.8
investigator/experience-metric-generate,30,9082,3367,34376,9919.51,0.000%,.04095,0.04,0.05,1003.0
check-async-status-Investigator trial async polling,226,4439,672,42762,7384.24,0.000%,.29929,0.25,0.35,866.4
Investigator trial async polling,30,71187,25236,141015,36098.79,0.000%,.03947,0.25,0.35,6526.9
Investigator experiece display,30,8390,462,48126,12114.21,0.000%,.04655,0.12,0.06,2628.2
Investigator experience metric,30,50915,8942,121632,36406.81,0.000%,.03925,0.39,0.45,10158.1
investigator-tiering/experience,30,40202,14618,68622,17174.96,0.000%,.04502,0.22,0.06,5038.0
Investigator performance grade experience,30,40202,14618,68622,17174.96,0.000%,.04502,0.22,0.06,5038.0
investigator-tiering/performance,30,44952,15550,90918,21356.86,0.000%,.04861,0.28,0.07,5841.0
Investigator performance grade- performance,30,44952,15550,90918,21356.86,0.000%,.04861,0.28,0.07,5841.0
investigator-detail,30,38075,9564,72874,19999.12,0.000%,.05306,0.23,0.07,4417.0
Investigator detail display ,30,38075,9564,72874,19999.12,0.000%,.05306,0.23,0.07,4417.0
TOTAL,8121,23661,0,734715,64095.69,0.566%,2.26189,141.91,7.54,64247.3
