Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,10,465,389,631,69.99,0.000%,.05543,8.12,0.33,150001.0
Debug Sampler,10,0,0,1,0.46,0.000%,.05575,0.15,0.00,2668.9
launch,10,465,389,632,70.16,0.000%,.05542,8.26,0.33,152669.9
IDMloginsuperadmin-login,10,1048,879,1227,100.14,0.000%,.05545,38.76,1.81,715677.0
login-details,10,630,513,1065,149.58,0.000%,.05563,0.06,0.05,1059.0
update-user-scenario-temp,10,606,518,676,59.15,0.000%,.05581,0.04,0.06,780.0
scenario-list,10,975,915,1094,64.15,0.000%,.05571,1.31,0.07,24105.0
login,10,3261,2975,3957,265.05,0.000%,.05481,39.70,1.97,741621.0
Landscape-filter-display,10,612,486,726,80.63,0.000%,.05590,0.04,0.07,794.0
dropdown-filter-region,10,621,516,839,93.93,0.000%,.05590,0.05,0.07,893.0
dropdown-filter-therapy area,10,611,515,671,50.55,0.000%,.05600,0.05,0.07,903.0
dropdown-filter-country,10,594,534,700,52.23,0.000%,.05598,0.05,0.07,868.0
dropdown-filter-disease,10,602,512,828,90.14,0.000%,.05598,0.06,0.07,1093.0
dropdown-filter-data source,10,673,540,927,125.64,0.000%,.05602,0.04,0.07,779.0
Landscape Filter Flyout,10,3715,3478,3985,188.96,0.000%,.05496,0.29,0.40,5330.0
landscape-filter-Patient filter-Save,10,563,482,723,69.25,0.000%,.05603,0.06,0.08,1027.0
Landscape Filter Flyout Values Save,10,563,482,723,69.25,0.000%,.05603,0.06,0.08,1027.0
patient-dropdown-country,10,589,526,660,51.93,0.000%,.05603,0.04,0.07,783.0
landscapecount-incidence,10,1209,858,1454,185.53,0.000%,.05577,0.07,0.07,1205.0
patientgraph-incidence,10,605,512,746,67.50,0.000%,.05592,0.42,0.07,7674.0
sitetier/performance/generate-category-site,10,3310,3269,3347,23.66,0.000%,.05513,0.05,0.07,894.0
sitetier/performance/generate-category-investigator,10,3315,3281,3398,31.16,0.000%,.05514,0.05,0.07,894.0
Patient Landscape-site-investigator-generate,10,6626,6569,6730,47.59,0.000%,.05414,0.09,0.14,1788.0
check-async-status--site performance polling,449,581,452,1214,74.97,0.000%,.85646,0.63,1.01,757.1
Patient Landscape-site performance polling,10,251079,89733,431056,115089.38,0.000%,.01889,0.63,1.00,33992.3
check-async-status-inv performance polling,22,581,487,776,79.55,0.000%,.06281,0.05,0.07,758.4
Patient Landscape-investigator performance polling,10,12297,5496,67119,18354.80,0.000%,.02815,0.05,0.07,1668.4
generate-country landscape detail,10,3306,3276,3351,22.18,0.000%,.03430,0.03,0.04,894.0
country-detail-polling,1033,610,476,2250,134.11,0.000%,1.12093,0.86,1.35,787.9
Country detail polling service,10,580359,505306,677754,66528.13,0.000%,.01079,0.86,1.35,81386.4
Country Landscape-generate,10,66421,57158,75761,7876.11,0.000%,.01075,0.86,1.36,82280.4
Patient Landscape Map,10,102829,79379,129905,16874.61,0.000%,.00843,1.07,1.58,129391.1
patient-drug-detail,10,612,520,719,70.51,0.000%,.02393,0.06,0.03,2450.0
Patient Landscape detail,10,612,520,719,70.51,0.000%,.02393,0.06,0.03,2450.0
Trialmap-total metric,10,10168,6521,17521,4108.49,0.000%,.02359,1.91,0.03,82788.2
trialmap-ongoing metric,10,620,545,703,59.00,0.000%,.02439,0.43,0.03,18006.0
Clinical Trial Landscape-Map,10,10789,7083,18086,4098.47,0.000%,.02355,2.32,0.05,100794.2
clinicaltrialchart/generate-no. of trials,10,3320,3267,3499,62.62,0.000%,.02424,0.02,0.03,894.0
clinicaltrialchart/generate-enrollment_duration,10,3359,3299,3447,55.05,0.000%,.02424,0.02,0.03,894.0
trial-chart-polling-no of trials,12,575,486,706,60.98,0.000%,.02929,0.02,0.04,776.3
No of Trial Chart Async API Polling,10,6698,5530,11191,2226.12,0.000%,.02411,0.02,0.04,931.6
