Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,25,443,345,1176,152.26,0.000%,.06502,9.52,0.38,150001.0
Debug Sampler,25,0,0,1,0.40,0.000%,.06522,0.17,0.00,2669.4
launch,25,443,345,1177,152.43,0.000%,.06502,9.69,0.38,152670.4
IDMloginsuperadmin-login,25,1049,947,1272,83.32,0.000%,.06504,45.46,2.12,715677.0
login-details,25,693,508,1306,161.66,0.000%,.06514,0.07,0.06,1059.0
update-user-scenario-temp,25,678,504,1827,264.14,0.000%,.06522,0.05,0.07,780.0
scenario-list,25,1030,885,1822,194.86,0.000%,.06514,1.53,0.08,24105.0
login,25,3452,2965,5485,563.73,0.000%,.06464,46.81,2.32,741621.0
Landscape-filter-display,25,604,476,867,82.35,0.000%,.06523,0.05,0.08,794.0
dropdown-filter-region,25,667,518,1018,108.79,0.000%,.06523,0.06,0.08,893.0
dropdown-filter-therapy area,25,663,543,787,67.35,0.000%,.06520,0.06,0.08,903.0
dropdown-filter-country,25,639,502,840,86.92,0.000%,.06521,0.06,0.08,868.0
dropdown-filter-disease,25,658,511,827,90.55,0.000%,.06519,0.07,0.08,1093.0
dropdown-filter-data source,25,662,498,822,97.44,0.000%,.06517,0.05,0.08,779.0
Landscape Filter Flyout,25,3896,3330,4739,324.01,0.000%,.06463,0.34,0.47,5330.0
landscape-filter-Patient filter-Save,25,621,446,1107,148.77,0.000%,.06518,0.07,0.09,1027.0
Landscape Filter Flyout Values Save,25,621,446,1107,148.77,0.000%,.06518,0.07,0.09,1027.0
patient-dropdown-country,25,667,540,855,90.84,0.000%,.06513,0.05,0.08,783.0
landscapecount-incidence,25,1765,888,2937,597.85,0.000%,.06481,0.08,0.08,1205.0
patientgraph-incidence,25,685,527,866,95.90,0.000%,.06485,0.49,0.08,7674.0
sitetier/performance/generate-category-site,25,3344,3265,3712,88.85,0.000%,.06438,0.06,0.08,894.0
sitetier/performance/generate-category-investigator,25,3362,3261,4145,175.79,0.000%,.06439,0.06,0.09,894.0
Patient Landscape-site-investigator-generate,25,6707,6538,7857,251.87,0.000%,.06384,0.11,0.17,1788.0
check-async-status--site performance polling,522,602,444,1335,115.16,0.000%,.66508,0.49,0.78,757.1
Patient Landscape-site performance polling,25,117121,50040,517389,104155.73,0.000%,.03165,0.49,0.78,15809.2
check-async-status-inv performance polling,73,608,462,1529,141.01,0.000%,.11028,0.08,0.13,758.0
Patient Landscape-investigator performance polling,25,16396,5510,191059,36878.95,0.000%,.03748,0.08,0.13,2213.4
generate-country landscape detail,25,3342,3254,3599,85.54,0.000%,.03891,0.03,0.05,894.0
country-detail-polling,4059,668,443,39776,904.08,0.000%,2.02325,1.56,2.44,787.9
Country detail polling service,25,921674,389798,1427087,347653.49,0.000%,.01243,1.55,2.44,127925.7
Country Landscape-generate,25,111960,47652,308649,54863.95,0.000%,.01241,1.56,2.45,128819.7
Patient Landscape Map,25,136147,64411,376201,62930.90,0.000%,.01147,1.77,2.66,158292.3
patient-drug-detail,25,1875,493,29667,5686.74,0.000%,.01514,0.04,0.02,2450.0
Patient Landscape detail,25,1875,493,29667,5686.74,0.000%,.01514,0.04,0.02,2450.0
Trialmap-total metric,25,8248,4569,33079,5211.18,0.000%,.01485,1.20,0.02,83054.8
trialmap-ongoing metric,25,1636,539,22065,4191.70,0.000%,.01471,0.26,0.02,18006.0
Clinical Trial Landscape-Map,25,9884,5271,55144,9327.19,0.000%,.01466,1.45,0.03,101060.8
clinicaltrialchart/generate-no. of trials,25,4132,3283,20758,3399.28,0.000%,.01454,0.01,0.02,894.0
clinicaltrialchart/generate-enrollment_duration,25,4502,3274,23763,4169.24,0.000%,.01437,0.01,0.02,894.0
trial-chart-polling-no of trials,27,1797,516,23606,4443.83,0.000%,.01534,0.01,0.02,775.0
No of Trial Chart Async API Polling,25,7352,5522,28613,4724.60,0.000%,.01416,0.01,0.02,837.0
trial-chart-polling-enrollment_duration,25,1820,511,22047,4377.94,0.000%,.01403,0.01,0.02,774.0
enrollment duration polling service,25,6829,5517,27054,4377.31,0.000%,.01399,0.01,0.02,774.0
display-trial-chart-no_of_trials,25,1505,476,14797,3087.23,0.000%,.01392,0.02,0.02,1133.0
display-trial-chart-enrollment_duration,25,2062,463,31457,6067.93,0.000%,.01368,0.02,0.02,1827.0
chart display,25,3568,954,46254,9029.66,0.000%,.01368,0.04,0.03,2960.0
Clinical Trial Landscape- chart,25,15964,8882,136428,25226.17,0.000%,.01355,0.08,0.10,6359.0
