Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,5,459,362,689,118.54,0.000%,.12380,18.14,0.73,150001.0
Debug Sampler,5,0,0,1,0.40,0.000%,.12595,0.33,0.00,2669.0
launch,5,459,362,689,118.47,0.000%,.12380,18.46,0.73,152670.0
IDMloginsuperadmin-login,5,1093,965,1253,92.20,0.000%,.12260,85.68,4.00,715677.0
login-details,5,1208,681,1942,502.64,0.000%,.12056,0.12,0.12,1059.0
update-user-scenario-temp,5,1111,613,1744,426.30,0.000%,.11820,0.09,0.13,780.0
scenario-list,5,1000,663,1460,281.39,0.000%,.11588,2.59,0.15,22862.6
login,5,4414,3477,6222,1124.28,0.000%,.10885,78.70,3.91,740378.6
Landscape-filter-display,5,1110,638,1911,517.72,0.000%,.11405,0.09,0.14,794.0
dropdown-filter-region,5,1281,676,2094,548.51,0.000%,.11082,0.10,0.13,893.0
dropdown-filter-therapy area,5,1286,593,1800,483.37,0.000%,.10823,0.10,0.13,903.0
dropdown-filter-country,5,1072,649,1620,358.42,0.000%,.10645,0.09,0.13,868.0
dropdown-filter-disease,5,784,649,980,131.07,0.000%,.10571,0.11,0.13,1093.0
dropdown-filter-data source,5,702,612,856,85.02,0.000%,.10560,0.08,0.13,779.0
Landscape Filter Flyout,5,6238,4371,8757,1666.47,0.000%,.09792,0.51,0.71,5330.0
landscape-filter-Patient filter-Save,5,1318,602,1872,507.16,0.000%,.10324,0.10,0.14,1027.0
Landscape Filter Flyout Values Save,5,1318,602,1872,507.16,0.000%,.10324,0.10,0.14,1027.0
patient-dropdown-country,5,1030,541,2050,555.09,0.000%,.10041,0.08,0.12,783.0
landscapecount-incidence,5,1781,1081,2534,472.38,0.000%,.09772,0.11,0.12,1205.0
patientgraph-incidence,5,1255,672,2346,635.38,0.000%,.09799,0.73,0.12,7674.0
sitetier/performance/generate-category-site,5,3852,3330,4687,616.58,0.000%,.09313,0.08,0.12,894.0
sitetier/performance/generate-category-investigator,5,4347,3485,5015,526.96,0.000%,.09076,0.08,0.12,894.0
Patient Landscape-site-investigator-generate,5,8199,7567,9537,710.88,0.000%,.08555,0.15,0.23,1788.0
check-async-status--site performance polling,161,1178,500,3218,764.38,0.000%,.48579,0.36,0.57,757.1
Patient Landscape-site performance polling,5,199221,85688,311340,92502.98,0.000%,.01486,0.35,0.56,24378.4
check-async-status-inv performance polling,7,618,545,702,54.98,0.000%,.03461,0.03,0.04,759.1
Patient Landscape-investigator performance polling,5,7876,5553,11347,2790.69,0.000%,.02412,0.03,0.04,1062.8
generate-country landscape detail,5,3337,3305,3422,43.51,0.000%,.02510,0.02,0.03,894.0
country-detail-polling,460,766,493,35313,1670.74,0.000%,.51828,0.40,0.63,787.8
Country detail polling service,5,531211,440183,696749,86678.18,0.000%,.00560,0.40,0.62,72482.0
Country Landscape-generate,5,73876,52951,134213,30322.27,0.000%,.00558,0.40,0.63,73376.0
Patient Landscape Map,5,124954,95615,197732,37506.14,0.000%,.00475,0.51,0.75,110267.2
patient-drug-detail,5,845,558,1770,464.43,0.000%,.01275,0.03,0.02,2453.0
Patient Landscape detail,5,845,558,1770,464.43,0.000%,.01275,0.03,0.02,2453.0
Trialmap-total metric,5,8241,7481,9214,625.70,0.000%,.01250,1.01,0.01,82413.4
trialmap-ongoing metric,5,720,578,910,110.98,0.000%,.01274,0.22,0.01,17909.0
Clinical Trial Landscape-Map,5,8962,8059,10124,726.09,0.000%,.01248,1.22,0.03,100322.4
clinicaltrialchart/generate-no. of trials,5,3361,3301,3410,39.40,0.000%,.01265,0.01,0.02,894.0
clinicaltrialchart/generate-enrollment_duration,5,3439,3331,3714,139.07,0.000%,.01265,0.01,0.02,894.0
trial-chart-polling-no of trials,7,587,528,656,48.14,0.000%,.01784,0.01,0.02,778.0
No of Trial Chart Async API Polling,5,7832,5536,16881,4524.36,0.000%,.01258,0.01,0.02,1089.2
trial-chart-polling-enrollment_duration,5,662,576,714,49.46,0.000%,.01274,0.01,0.02,774.0
enrollment duration polling service,5,5669,5583,5720,49.04,0.000%,.01258,0.01,0.02,774.0
display-trial-chart-no_of_trials,5,745,490,1329,309.99,0.000%,.01274,0.01,0.02,1133.0
display-trial-chart-enrollment_duration,5,593,550,648,38.51,0.000%,.01274,0.02,0.02,1825.0
chart display,5,1339,1093,1977,336.69,0.000%,.01272,0.04,0.03,2958.0
Clinical Trial Landscape- chart,5,9624,9065,11463,921.97,0.000%,.01217,0.08,0.10,6609.2
trialtimeline/generate,5,3327,3295,3370,25.71,0.000%,.01265,0.01,0.01,894.0
trial-timeline-polling,11,806,551,1151,200.03,0.000%,.02760,0.02,0.03,781.6
timeline polling service,5,12791,11502,17203,2213.08,0.000%,.01239,0.02,0.03,1719.6
display-trial-timeline,5,1290,1077,1515,191.96,0.000%,.01289,54.66,0.02,4342097.8
timeline display,5,1290,1077,1515,191.96,0.000%,.01289,54.66,0.02,4342097.8
 clinical Trial Landscape timeline ,5,6391,5875,6732,281.30,0.000%,.01224,51.94,0.06,4344711.4
trialdetails/generate,5,3364,3309,3463,59.65,0.000%,.01282,0.01,0.01,894.0
trial-detail-polling,13,745,517,957,133.96,0.000%,.03308,0.03,0.04,782.6
trial detail polling service,5,14957,11347,23163,4629.19,0.000%,.01256,0.02,0.04,2034.8
display-trial-detail,5,2116,2015,2206,64.75,0.000%,.01315,0.06,0.02,5005.4
trial detail display,5,2116,2015,2206,64.75,0.000%,.01315,0.06,0.02,5005.4
Clinical Trial landscape detail ,5,20438,16834,28591,4602.24,0.000%,.01239,0.10,0.07,7934.2
drug/generate,5,3375,3290,3461,66.12,0.000%,.01311,0.01,0.02,894.0
drug-dropdown-search-country,5,950,572,1830,449.39,0.000%,.01320,0.01,0.02,1108.0
drug-dropdown-search-drg_nm,5,1011,570,2562,776.26,0.000%,.01321,0.01,0.02,977.0
drug-status,5,989,591,2142,579.57,0.000%,.01321,0.02,0.03,1639.0
drug-map-polling,5,784,574,1320,270.99,0.000%,.01321,0.01,0.02,774.0
drug landscape map polling,5,5793,5582,6329,271.25,0.000%,.01303,0.01,0.02,774.0
display-drug-map,5,833,523,1768,469.59,0.000%,.01321,0.13,0.01,10020.0
drug map display-detail ,5,833,523,1768,469.59,0.000%,.01321,0.13,0.01,10020.0
Drug landscape map ,5,7944,6615,12912,2486.76,0.000%,.01283,0.19,0.11,15412.0
drug-patient-detail,5,6331,3226,10944,2756.12,0.000%,.01305,0.04,0.02,2973.0
drug detail ,5,6331,3226,10944,2756.12,0.000%,.01305,0.04,0.02,2973.0
countrycount-site metric,5,9482,2080,38700,14608.84,0.000%,.01313,0.12,0.02,8967.0
Country Landscape- map,5,9482,2080,38700,14608.84,0.000%,.01313,0.12,0.02,8967.0
display-country-landscape,5,1153,539,3249,1049.76,0.000%,.01319,0.06,0.02,4419.0
country-dropdown,5,3738,613,15999,6130.20,0.000%,.01319,0.04,0.02,3101.0
countrylandscape-detail-drugprofile,5,916,814,1009,65.86,0.000%,.01319,0.03,0.02,2141.0
countrylandscape-detail-site-investigator,5,22084,18632,27940,3345.59,0.000%,.01231,0.01,0.02,927.4
countrylandscape-detail-clinical-trial,5,3871,837,13015,4682.39,0.000%,.01248,0.05,0.02,3755.0
Country detail display,5,31764,22020,43097,8812.96,0.000%,.01186,0.17,0.08,14343.4
sitemap,5,60068,60045,60113,25.53,100.000%,.01088,0.02,0.01,1744.0
generate-experience-category-site-new,5,15135,3520,60104,22490.67,20.000%,.01088,0.01,0.01,1064.0
Site landscape experience-generate,5,15135,3520,60104,22490.67,20.000%,.01088,0.01,0.01,1064.0
check-async-status-Site experience trial async service,913,1151,473,60080,4039.00,0.219%,.17209,0.13,0.19,754.7
Site experience  async service,4,24710,22529,27803,1967.67,0.000%,.01800,0.05,0.07,2652.5
Site map,4,71142,66109,77756,4718.60,100.000%,.01399,0.07,0.09,5290.5
experience-category-site-old,4,60058,60047,60074,11.10,100.000%,.01547,0.03,0.02,1744.0
experience-metrics/trial-category/generate,4,7650,4698,14541,4043.35,0.000%,.01968,0.02,0.02,894.0
Site experience trial async service,4,167695,161687,171138,3644.85,25.000%,.01115,0.18,0.27,16714.5
sitemetric-trial,4,17272,3216,33614,14093.29,0.000%,.01809,0.04,0.02,2207.0
Site experience metric,4,143778,94617,248281,61183.09,100.000%,.00857,0.18,0.24,21559.5
site-tiering/experience,4,53393,33350,60087,11572.27,75.000%,.01593,0.04,0.02,2644.8
Site Performance Grade experience,4,53393,33350,60087,11572.27,75.000%,.01593,0.04,0.02,2644.8
site-tiering/performance,4,47971,11529,60134,21039.80,75.000%,.01974,0.06,0.03,3027.5
Site Performance Grade experience performance,4,47971,11529,60134,21039.80,75.000%,.01974,0.06,0.03,3027.5
sites-detail,4,39868,6227,60149,22358.79,50.000%,.02689,0.06,0.03,2426.0
Site details,4,39868,6227,60149,22358.79,50.000%,.02689,0.06,0.03,2426.0
sitemap-inv,4,38753,19972,48958,11321.72,0.000%,.03684,1.00,0.04,27794.0
generate-experience-category-investigator-new,4,4822,3482,6401,1039.02,0.000%,.06060,0.05,0.08,894.0
check-async-status -investigator experience polling,46,2173,495,13756,3087.12,0.000%,.41021,0.30,0.46,757.3
