Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,10,401,307,705,105.95,0.000%,.11071,16.22,0.65,150001.0
launch,10,401,307,705,105.95,0.000%,.11071,16.22,0.65,150001.0
IDMloginsuperadmin-login,10,1047,904,1252,111.83,0.000%,.11032,77.10,3.60,715677.0
login-details,10,1104,725,1613,287.19,0.000%,.11005,0.11,0.11,1059.0
update-user-scenario-temp,10,1356,693,2003,438.73,0.000%,.10913,0.08,0.12,780.0
scenario-list,10,1779,730,2813,804.11,0.000%,.10666,2.21,0.13,21186.9
login,10,5288,3452,7021,1325.49,0.000%,.10343,74.61,3.72,738702.9
Setup Save -create-scenario,10,1707,809,2983,786.58,0.000%,.10519,0.10,0.24,956.1
setupsavedisplay-scenario,10,1747,602,3130,798.63,0.000%,.10401,0.16,0.12,1598.2
setup savedisplay-scenario-status,10,1748,848,2837,646.82,0.000%,.10181,0.09,0.12,873.0
setup Save and navigation to filtercriteria,10,5202,2317,8137,1884.18,0.000%,.10019,0.34,0.46,3427.3
save-create-filter,10,1935,692,3519,922.52,0.000%,.09996,0.08,0.11,789.0
generate-trialuniverse,10,2048,916,2781,687.28,0.000%,.09812,0.07,0.12,773.0
get-trialuniverse-details,10,1760,822,2934,584.77,0.000%,.09630,2.51,0.15,26661.0
Trial criteria next nd navigation to universe screen,10,5745,2666,8312,1902.75,0.000%,.09462,2.61,0.37,28223.0
last-module-activated-benchmark-metrics,10,1670,408,3167,955.21,0.000%,.09605,0.07,0.12,751.0
generate-benchmark,10,2511,1403,3811,819.29,0.000%,.09427,0.07,0.11,784.0
last-module-activated-benchmark-universe,19,1025,384,2483,625.46,0.000%,.01296,0.01,0.02,751.0
get-benchmark-details,10,1240,625,2426,584.73,0.000%,.09344,0.16,0.11,1776.0
get-benchmark-trial-details,10,2855,2097,3895,571.60,0.000%,.09160,1.16,0.12,13011.0
benchmark-summary-saved-filter,10,2276,1442,3665,705.68,0.000%,.09098,0.07,0.11,734.0
trial universe next and benchmark screen,10,11756,6493,16859,3445.70,0.000%,.08698,1.51,0.63,17807.0
Site rank generate,10,4418,3334,5723,778.39,0.000%,.08903,0.07,0.17,849.0
site-check-async-status,221,947,466,3546,625.39,0.000%,.72663,0.54,0.86,757.8
sites asynch service,10,131635,53664,209648,68213.32,0.000%,.03235,0.53,0.85,16747.7
flyout/generate-site,10,3794,3284,6101,838.26,0.000%,.03864,0.03,0.04,849.0
flyout generate site--parallel to pi generate,10,3794,3284,6101,838.26,0.000%,.03864,0.03,0.04,849.0
pi-generate,10,3958,3308,5333,771.93,0.000%,.03905,0.03,0.07,849.0
pi generate,10,3958,3308,5333,771.93,0.000%,.03905,0.03,0.07,849.0
PI/check-async-status,410,657,457,2650,223.53,0.000%,.65830,0.49,0.78,757.4
pi rank asynch,10,232269,110425,376518,70588.25,0.000%,.01593,0.48,0.77,31055.0
invflyout/generate,10,3338,3295,3402,29.24,0.000%,.01920,0.02,0.02,849.0
site generate highest inv,10,3343,3292,3465,46.98,0.000%,.01921,0.02,0.02,849.0
flyout services-invflyout-sitehighestinv-parallel to country generate,10,6681,6611,6772,50.45,0.000%,.01908,0.03,0.05,1698.0
country rank generate,10,3342,3302,3388,27.03,0.000%,.01921,0.02,0.04,849.0
country generate,10,3342,3302,3388,27.03,0.000%,.01921,0.02,0.04,849.0
country/check-async-status,553,649,471,6200,360.80,0.000%,.73520,0.54,0.87,757.3
country_rank_asynch_parent,10,312826,197257,416240,78098.00,0.000%,.01321,0.54,0.86,41878.1
flyout/generate-country,10,7035,3279,38153,10394.27,0.000%,.01704,0.01,0.02,849.0
flyout generate country,10,7035,3279,38153,10394.27,0.000%,.01704,0.01,0.02,849.0
flyout count asynch call,809,4039,782,60116,10529.99,1.360%,.13981,0.10,0.19,762.2
flyout_count_asynch_parent,9,618641,469603,868374,113991.29,100.000%,.00929,0.25,0.46,27611.3
insert into user activity,9,5714,464,33179,9817.71,0.000%,.08950,0.31,0.11,3580.0
RDCcountry-rank-display,9,3976,829,20725,5959.28,0.000%,.13196,2.87,0.27,22298.0
RDCcountrynarrowresults,9,2657,548,15268,4474.81,0.000%,.18739,0.15,0.25,816.0
