Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,10,404,373,449,29.63,0.000%,.11058,16.20,0.65,150001.0
launch,10,404,373,449,29.63,0.000%,.11058,16.20,0.65,150001.0
IDMloginsuperadmin-login,10,902,825,973,49.82,0.000%,.10999,76.87,3.59,715658.0
login-details,10,655,543,858,90.71,0.000%,.11009,0.11,0.11,1059.0
update-user-scenario-temp,10,577,508,813,88.59,0.000%,.10999,0.08,0.12,780.0
scenario-list,10,862,751,995,66.85,0.000%,.10971,1.95,0.14,18224.1
login,10,2998,2815,3393,167.26,0.000%,.10714,76.98,3.85,735721.1
Setup Save -create-scenario,10,941,702,1770,311.32,0.000%,.10870,0.10,0.25,956.1
setupsavedisplay-scenario,10,553,461,620,52.08,0.000%,.10884,0.17,0.12,1598.2
setup savedisplay-scenario-status,10,635,544,751,66.23,0.000%,.10860,0.09,0.12,873.0
setup Save and navigation to filtercriteria,10,2131,1876,3107,359.03,0.000%,.10714,0.36,0.49,3427.3
save-create-filter,10,838,625,1681,287.09,0.000%,.10859,0.08,0.12,789.0
generate-trialuniverse,10,998,845,1158,106.21,0.000%,.10836,0.08,0.14,773.0
get-trialuniverse-details,10,739,647,865,69.31,0.000%,.10848,2.82,0.17,26661.0
Trial criteria next nd navigation to universe screen,10,2576,2294,3619,376.09,0.000%,.10655,2.94,0.42,28223.0
last-module-activated-benchmark-metrics,10,420,363,516,51.72,0.000%,.10893,0.08,0.14,751.0
generate-benchmark,10,1872,1722,1981,77.72,0.000%,.10719,0.08,0.12,784.0
last-module-activated-benchmark-universe,20,474,355,1087,175.58,0.000%,.02150,0.02,0.03,751.0
get-benchmark-details,10,726,482,2046,444.50,0.000%,.10877,0.19,0.12,1776.0
get-benchmark-trial-details,10,3311,3125,3638,148.98,0.000%,.10557,1.34,0.14,13011.0
benchmark-summary-saved-filter,10,716,628,777,44.25,0.000%,.10839,0.08,0.13,734.0
trial universe next and benchmark screen,10,7461,6998,9090,588.34,0.000%,.10133,1.76,0.73,17807.0
Site rank generate,10,3370,3292,3601,100.22,0.000%,.10539,0.09,0.20,849.0
site-check-async-status,86,588,465,869,75.89,0.000%,.44605,0.33,0.53,759.1
sites asynch service,10,48136,11107,106253,27364.33,0.000%,.05055,0.32,0.51,6528.2
flyout/generate-site,10,3317,3272,3479,55.85,0.000%,.05264,0.04,0.06,849.0
flyout generate site--parallel to pi generate,10,3317,3272,3479,55.85,0.000%,.05264,0.04,0.06,849.0
pi-generate,10,3302,3265,3347,23.79,0.000%,.05263,0.04,0.09,849.0
pi generate,10,3302,3265,3347,23.79,0.000%,.05263,0.04,0.09,849.0
PI/check-async-status,161,584,452,990,77.51,0.000%,.49940,0.37,0.59,758.1
pi rank asynch,10,90040,27928,140671,37222.55,0.000%,.03054,0.36,0.58,12205.7
invflyout/generate,10,3323,3260,3435,57.79,0.000%,.03303,0.03,0.04,849.0
site generate highest inv,10,3316,3272,3570,85.61,0.000%,.03303,0.03,0.04,849.0
flyout services-invflyout-sitehighestinv-parallel to country generate,10,6639,6556,6860,94.66,0.000%,.03267,0.05,0.08,1698.0
country rank generate,10,3331,3263,3493,72.60,0.000%,.03304,0.03,0.07,849.0
country generate,10,3331,3263,3493,72.60,0.000%,.03304,0.03,0.07,849.0
country/check-async-status,257,605,460,1687,110.76,0.000%,.56794,0.42,0.67,757.6
country_rank_asynch_parent,10,144250,100693,191783,27434.74,0.000%,.02186,0.42,0.66,19470.9
flyout/generate-country,10,3317,3266,3410,36.50,0.000%,.02776,0.02,0.03,849.0
flyout generate country,10,3317,3266,3410,36.50,0.000%,.02776,0.02,0.03,849.0
flyout count asynch call,424,1000,784,4082,209.65,0.000%,.57081,0.42,0.79,746.1
flyout_count_asynch_parent,10,466767,386937,539182,42684.73,0.000%,.01328,0.41,0.78,31636.4
insert into user activity,10,649,433,1353,275.92,0.000%,.03066,0.11,0.04,3580.0
RDCcountry-rank-display,10,992,693,2387,486.06,0.000%,.03060,0.67,0.06,22298.0
RDCcountrynarrowresults,10,767,509,1231,214.35,0.000%,.03059,0.02,0.04,816.0
country ranked display calls,10,2946,2164,6058,1129.88,0.000%,.03043,0.82,0.18,27445.0
navigation to country prioritzation,10,98674,77377,111960,10058.78,0.000%,.01088,1.10,1.46,103229.2
COupdate-country-survey-flag-details,10,874,562,2081,448.48,0.000%,.03044,0.02,0.14,789.0
COcountry-rank-save,10,1949,1514,3507,567.82,0.000%,.03028,0.66,0.06,22307.0
COsite-rank-save,10,2442,2156,3390,358.78,0.000%,.03019,0.44,0.06,15021.8
COpi-rank-save,10,2715,2507,3176,194.17,0.000%,.03017,0.30,0.06,10252.0
update-scenario-status,10,918,622,2456,516.57,0.000%,.03035,0.02,0.04,816.0
display-scenario-status,10,784,642,1291,177.72,0.000%,.03034,0.03,0.03,867.0
COcountry-get-survey-details,10,813,491,1573,352.48,0.000%,.03036,0.02,0.04,789.0
COget-country-outreach-details,10,1087,709,2645,550.48,0.000%,.03033,0.34,0.13,11609.0
save country priortization and navigation to country outreach ,10,11585,9845,15775,1965.78,0.000%,.02951,1.80,0.55,62450.8
country outreach savesave-country-outreach-details,10,646,493,861,110.35,0.000%,.03035,0.02,0.04,742.0
country outreach save search-details,10,742,557,1197,170.29,0.000%,.03030,0.31,0.04,10526.0
country outreach save,10,1388,1120,1865,226.23,0.000%,.03024,0.33,0.08,11268.0
country export,10,13153,12144,14726,825.78,0.000%,.02917,0.06,0.04,2241.6
country export_parent,10,13153,12144,14726,825.78,0.000%,.02917,0.06,0.04,2241.6
Initiate survey-country,10,4299,3479,5579,556.33,0.000%,.02990,0.03,0.04,901.0
country search details,10,1082,672,3299,770.34,0.000%,.03021,0.31,0.05,10602.0
initiate country survey,10,5382,4250,7398,997.34,0.000%,.02983,0.34,0.08,11503.0
summary-detail-sitecountry,10,729,527,1317,214.97,0.000%,.03021,0.27,0.04,9000.0
summary-detail_site_region,10,841,507,1813,380.18,0.000%,.03022,0.09,0.04,2897.0
summary-detail-inv_country,10,935,554,2372,544.93,0.000%,.03021,0.27,0.04,9129.0
summary-detail-inv_region,10,854,591,1817,369.07,0.000%,.03017,0.09,0.04,2946.0
get-site-comparison-details,10,744,587,1313,204.97,0.000%,.03016,0.17,0.04,5628.0
summary,10,4105,2882,7218,1516.37,0.000%,.02993,0.87,0.18,29600.0
pi-rank display,10,1053,946,1159,61.91,0.000%,.03011,0.43,0.06,14669.0
pi_narrow_results,10,661,486,1255,209.66,0.000%,.03015,0.04,0.04,1202.0
Navigation to pi screen ,10,1715,1522,2360,236.95,0.000%,.03005,0.47,0.10,15871.0
SPsites screen get-survey-details,10,742,509,1342,238.29,0.000%,.03014,0.02,0.04,789.0
SPsite-rank-display,10,1106,749,2985,639.58,0.000%,.03012,0.63,0.06,21431.2
SPsite-narrow results,10,774,511,1387,284.17,0.000%,.03013,0.04,0.04,1193.0
SPtags-narrow-result,20,799,509,2366,462.23,0.000%,.06003,0.05,0.08,842.0
SPregion-narrow-result,10,677,539,1074,159.71,0.000%,.03015,0.04,0.04,1193.0
sites Priortization,10,4900,3630,10890,2068.60,0.000%,.02984,0.77,0.26,26290.2
scenario mapview,10,1004,541,4006,1003.42,0.000%,.03015,0.31,0.04,10574.0
sites Priortization Map view,10,1004,541,4006,1003.42,0.000%,.03015,0.31,0.04,10574.0
save-site-curr-optimisation-flag,10,764,612,922,108.17,0.000%,.03013,0.02,0.17,800.0
SOsite-rank-save,10,2479,2141,3191,325.14,0.000%,.03000,0.44,0.06,15029.8
SOpi-rank-save,10,2812,2428,3377,325.83,0.000%,.02991,0.30,0.06,10252.0
Socountry-rank-save,10,1677,1482,2323,233.65,0.000%,.02994,0.65,0.06,22307.0
SOupdate-scenario-status,10,828,619,1395,251.13,0.000%,.02998,0.02,0.03,816.0
SOdisplay-scenario-status,10,1001,625,2042,470.06,0.000%,.02998,0.03,0.03,867.0
SOget-survey-details,10,725,537,1616,302.39,0.000%,.02999,0.02,0.04,789.0
SOget-site-outreach-details,10,1173,855,2529,469.92,0.000%,.02996,0.25,0.15,8647.0
navigation to sites outreach-create,10,11463,10133,16019,1678.41,0.000%,.02915,1.69,0.60,59507.8
SSOsave-site-outreach-details,10,863,636,1466,243.66,0.000%,.02997,0.02,0.04,742.0
SSOsites-search-details,10,734,575,1611,296.18,0.000%,.02997,0.23,0.04,7952.0
save sites outreach,10,1598,1298,3077,512.14,0.000%,.02992,0.25,0.08,8694.0
site survey creation,10,3963,3090,5186,568.02,0.000%,.02971,0.03,0.04,900.0
site search details,10,744,533,1430,258.33,0.000%,.03012,0.24,0.05,7993.0
sites initiate survey,10,4708,3790,5719,527.14,0.000%,.02966,0.26,0.08,8893.0
Add-site,10,36752,21424,60104,9510.14,10.000%,.02732,0.02,0.13,904.3
ASsave-site-curr-optimisation-flag,10,674,502,1219,198.90,0.000%,.03263,0.03,0.05,800.0
ASsite-rank-save,10,2255,2093,2376,76.24,0.000%,.03246,0.63,0.06,19835.9
AScountry-rank-save,10,1734,1507,2480,267.79,0.000%,.03251,0.71,0.06,22307.0
ASpi-rank-save,10,2766,2439,3842,436.47,0.000%,.03242,0.32,0.05,10252.0
ASupdate-scenario-status,10,802,634,1474,234.00,0.000%,.03262,0.03,0.04,816.0
ASsite-rank-display,10,923,750,1585,227.82,0.000%,.03261,0.63,0.06,19809.9
Add Sites,10,45907,29718,68883,9963.11,10.000%,.02668,1.95,0.38,74725.1
TOTAL,1948,6233,355,539182,36597.73,0.103%,1.68534,23.85,5.94,14488.9
